trip_id,start_time,completed_time,distance_meters,start_latitude,start_longitude,end_latitude,end_longitude,year,month,day,hour,tripDuration(minutes)
30622409,2018-12-24 11:51:42+00:00,2018-12-24 12:05:29+00:00,1894,38.25,-85.75,38.24,-85.76,2018,December,Monday,11,14.0
31428625,2018-12-29 10:20:07+00:00,2018-12-29 10:25:51+00:00,623,38.25,-85.76,38.26,-85.75,2018,December,Saturday,10,6.0
31446657,2018-12-29 11:53:52+00:00,2018-12-29 11:56:18+00:00,75,38.26,-85.76,38.26,-85.76,2018,December,Saturday,11,2.0
27226432,2018-12-06 07:03:12+00:00,2018-12-06 07:17:05+00:00,2334,38.23,-85.76,38.23,-85.74,2018,December,Thursday,7,14.0
29799281,2018-12-19 20:06:54+00:00,2018-12-19 20:40:41+00:00,6255,38.24,-85.76,38.24,-85.76,2018,December,Wednesday,20,34.0
27281699,2018-12-06 11:56:24+00:00,2018-12-06 11:57:55+00:00,95,38.23,-85.76,38.23,-85.76,2018,December,Thursday,11,2.0
29796769,2018-12-19 19:46:37+00:00,2018-12-19 19:58:37+00:00,1953,38.21,-85.74,38.22,-85.75,2018,December,Wednesday,19,12.0
30194200,2018-12-21 23:33:58+00:00,2018-12-21 23:46:44+00:00,1938,38.22,-85.76,38.22,-85.76,2018,December,Friday,23,13.0
31426821,2018-12-29 10:09:29+00:00,2018-12-29 10:20:04+00:00,2323,38.26,-85.76,38.25,-85.78,2018,December,Saturday,10,11.0
27279651,2018-12-06 11:46:33+00:00,2018-12-06 11:51:28+00:00,418,38.21,-85.76,38.22,-85.75,2018,December,Thursday,11,5.0
28773532,2018-12-14 14:37:31+00:00,2018-12-14 14:41:29+00:00,68,38.26,-85.76,38.26,-85.76,2018,December,Friday,14,4.0
28774546,2018-12-14 14:42:46+00:00,2018-12-14 14:58:46+00:00,1191,38.26,-85.76,38.26,-85.76,2018,December,Friday,14,16.0
28772294,2018-12-14 14:31:24+00:00,2018-12-14 15:22:15+00:00,6441,38.25,-85.75,38.25,-85.76,2018,December,Friday,14,51.0
29185401,2018-12-16 13:41:41+00:00,2018-12-16 13:49:47+00:00,143,38.24,-85.73,38.24,-85.73,2018,December,Sunday,13,8.0
31437242,2018-12-29 11:07:41+00:00,2018-12-29 11:11:51+00:00,720,38.23,-85.76,38.23,-85.76,2018,December,Saturday,11,4.0
31438355,2018-12-29 11:13:06+00:00,2018-12-29 11:20:18+00:00,233,38.22,-85.7,38.22,-85.7,2018,December,Saturday,11,7.0
29795129,2018-12-19 19:33:33+00:00,2018-12-19 20:36:55+00:00,4302,38.24,-85.76,38.24,-85.76,2018,December,Wednesday,19,63.0
29527523,2018-12-18 10:37:56+00:00,2018-12-18 10:41:26+00:00,481,38.26,-85.76,38.26,-85.76,2018,December,Tuesday,10,4.0
31428486,2018-12-29 10:19:17+00:00,2018-12-29 10:26:28+00:00,1504,38.22,-85.77,38.22,-85.77,2018,December,Saturday,10,7.0
31305565,2018-12-28 16:14:17+00:00,2018-12-28 17:04:40+00:00,1231,38.25,-85.76,38.25,-85.76,2018,December,Friday,16,50.0
27260020,2018-12-06 10:03:33+00:00,2018-12-06 10:09:02+00:00,793,38.21,-85.76,38.21,-85.76,2018,December,Thursday,10,5.0
30627370,2018-12-24 12:28:06+00:00,2018-12-24 12:43:46+00:00,2650,38.24,-85.72,38.24,-85.72,2018,December,Monday,12,16.0
30735211,2018-12-25 09:16:20+00:00,2018-12-25 09:32:20+00:00,533,38.24,-85.69,38.24,-85.69,2018,December,Tuesday,9,16.0
31297109,2018-12-28 15:31:35+00:00,2018-12-28 15:35:06+00:00,659,38.26,-85.75,38.25,-85.74,2018,December,Friday,15,4.0
26559628,2018-12-02 12:42:22+00:00,2018-12-02 12:56:49+00:00,1939,38.26,-85.75,38.26,-85.76,2018,December,Sunday,12,14.0
26549374,2018-12-02 11:51:58+00:00,2018-12-02 12:04:01+00:00,2157,38.25,-85.75,38.26,-85.74,2018,December,Sunday,11,12.0
26546841,2018-12-02 11:40:02+00:00,2018-12-02 12:01:55+00:00,5078,38.26,-85.74,38.23,-85.76,2018,December,Sunday,11,22.0
26665725,2018-12-03 04:47:51+00:00,2018-12-03 04:52:27+00:00,821,38.26,-85.75,38.26,-85.76,2018,December,Monday,4,5.0
27270639,2018-12-06 10:57:35+00:00,2018-12-06 11:00:09+00:00,434,38.26,-85.76,38.26,-85.76,2018,December,Thursday,10,3.0
27243083,2018-12-06 08:36:39+00:00,2018-12-06 08:41:29+00:00,189,38.26,-85.75,38.26,-85.75,2018,December,Thursday,8,5.0
31427359,2018-12-29 10:12:46+00:00,2018-12-29 10:17:50+00:00,373,38.26,-85.76,38.26,-85.75,2018,December,Saturday,10,5.0
31441468,2018-12-29 11:28:34+00:00,2018-12-29 11:35:31+00:00,56,38.26,-85.75,38.25,-85.75,2018,December,Saturday,11,7.0
28541946,2018-12-13 11:03:53+00:00,2018-12-13 11:20:14+00:00,4451,38.24,-85.72,38.26,-85.76,2018,December,Thursday,11,16.0
29186901,2018-12-16 13:47:44+00:00,2018-12-16 13:57:43+00:00,1885,38.26,-85.78,38.25,-85.76,2018,December,Sunday,13,10.0
31438742,2018-12-29 11:15:02+00:00,2018-12-29 11:54:31+00:00,3259,38.22,-85.7,38.23,-85.71,2018,December,Saturday,11,39.0
31309217,2018-12-28 16:33:05+00:00,2018-12-28 17:01:45+00:00,1833,38.26,-85.74,38.26,-85.74,2018,December,Friday,16,29.0
27230586,2018-12-06 07:27:51+00:00,2018-12-06 07:34:15+00:00,1389,38.22,-85.76,38.23,-85.75,2018,December,Thursday,7,6.0
28773726,2018-12-14 14:38:30+00:00,2018-12-14 14:41:40+00:00,88,38.26,-85.76,38.26,-85.76,2018,December,Friday,14,3.0
29784353,2018-12-19 18:15:32+00:00,2018-12-19 19:53:09+00:00,3984,38.25,-85.65,38.26,-85.65,2018,December,Wednesday,18,98.0
30625096,2018-12-24 12:11:16+00:00,2018-12-24 12:33:03+00:00,7527,38.26,-85.76,38.2,-85.78,2018,December,Monday,12,22.0
31171371,2018-12-28 00:11:31+00:00,2018-12-28 00:19:51+00:00,1846,38.24,-85.72,38.23,-85.71,2018,December,Friday,0,8.0
29792071,2018-12-19 19:10:58+00:00,2018-12-19 19:13:38+00:00,274,38.24,-85.72,38.24,-85.72,2018,December,Wednesday,19,3.0
29799235,2018-12-19 20:06:35+00:00,2018-12-19 20:49:35+00:00,7165,38.24,-85.72,38.23,-85.71,2018,December,Wednesday,20,43.0
31338002,2018-12-28 19:36:12+00:00,2018-12-28 19:42:23+00:00,672,38.26,-85.76,38.25,-85.76,2018,December,Friday,19,6.0
29790285,2018-12-19 18:56:53+00:00,2018-12-19 19:01:56+00:00,81,38.25,-85.76,38.25,-85.76,2018,December,Wednesday,18,5.0
29872693,2018-12-20 08:26:58+00:00,2018-12-20 08:31:49+00:00,1026,38.22,-85.76,38.21,-85.75,2018,December,Thursday,8,5.0
30733928,2018-12-25 09:03:24+00:00,2018-12-25 09:07:44+00:00,1103,38.22,-85.75,38.22,-85.76,2018,December,Tuesday,9,4.0
31260525,2018-12-28 12:37:11+00:00,2018-12-28 12:48:15+00:00,815,38.26,-85.76,38.26,-85.76,2018,December,Friday,12,11.0
31277516,2018-12-28 13:58:06+00:00,2018-12-28 14:21:43+00:00,2410,38.24,-85.72,38.24,-85.72,2018,December,Friday,13,24.0
27296556,2018-12-06 13:24:10+00:00,2018-12-06 13:30:03+00:00,355,38.26,-85.76,38.26,-85.77,2018,December,Thursday,13,6.0
27298725,2018-12-06 13:36:52+00:00,2018-12-06 13:44:13+00:00,1761,38.25,-85.75,38.23,-85.75,2018,December,Thursday,13,7.0
30731530,2018-12-25 08:40:22+00:00,2018-12-25 10:04:21+00:00,8356,38.25,-85.75,38.25,-85.76,2018,December,Tuesday,8,84.0
28768865,2018-12-14 14:13:25+00:00,2018-12-14 14:16:13+00:00,517,38.26,-85.76,38.26,-85.75,2018,December,Friday,14,3.0
29782831,2018-12-19 18:05:00+00:00,2018-12-19 19:29:50+00:00,9683,38.26,-85.76,38.22,-85.76,2018,December,Wednesday,18,85.0
29144809,2018-12-16 10:41:36+00:00,2018-12-16 10:48:55+00:00,16,38.23,-85.76,38.23,-85.76,2018,December,Sunday,10,7.0
31432366,2018-12-29 10:41:36+00:00,2018-12-29 10:43:18+00:00,372,38.26,-85.75,38.26,-85.75,2018,December,Saturday,10,2.0
31279665,2018-12-28 14:08:29+00:00,2018-12-28 15:06:27+00:00,7586,38.26,-85.76,38.26,-85.76,2018,December,Friday,14,58.0
31455961,2018-12-29 12:37:56+00:00,2018-12-29 12:53:28+00:00,1402,38.26,-85.75,38.26,-85.76,2018,December,Saturday,12,16.0
28768886,2018-12-14 14:13:31+00:00,2018-12-14 14:28:35+00:00,2706,38.26,-85.78,38.26,-85.76,2018,December,Friday,14,15.0
29182192,2018-12-16 13:28:48+00:00,2018-12-16 13:34:27+00:00,1179,38.2,-85.76,38.21,-85.77,2018,December,Sunday,13,6.0
31286468,2018-12-28 14:41:02+00:00,2018-12-28 14:56:21+00:00,516,38.26,-85.76,38.26,-85.76,2018,December,Friday,14,15.0
31454401,2018-12-29 12:30:32+00:00,2018-12-29 12:47:41+00:00,2811,38.24,-85.72,38.25,-85.74,2018,December,Saturday,12,17.0
26559588,2018-12-02 12:42:14+00:00,2018-12-02 12:56:58+00:00,1655,38.26,-85.76,38.26,-85.76,2018,December,Sunday,12,15.0
26543699,2018-12-02 11:24:44+00:00,2018-12-02 12:42:57+00:00,7206,38.22,-85.76,38.25,-85.77,2018,December,Sunday,11,78.0
26536797,2018-12-02 10:49:02+00:00,2018-12-02 12:54:09+00:00,3078,38.24,-85.72,38.23,-85.71,2018,December,Sunday,10,125.0
26558306,2018-12-02 12:35:47+00:00,2018-12-02 12:48:57+00:00,952,38.26,-85.76,38.25,-85.76,2018,December,Sunday,12,13.0
29174859,2018-12-16 12:59:31+00:00,2018-12-16 13:26:15+00:00,463,38.21,-85.76,38.2,-85.76,2018,December,Sunday,12,27.0
29129724,2018-12-16 09:17:45+00:00,2018-12-16 09:23:27+00:00,1243,38.23,-85.7,38.24,-85.72,2018,December,Sunday,9,6.0
29131972,2018-12-16 09:31:52+00:00,2018-12-16 09:33:18+00:00,37,38.26,-85.76,38.26,-85.76,2018,December,Sunday,9,1.0
30189104,2018-12-21 22:37:20+00:00,2018-12-21 22:39:29+00:00,337,38.22,-85.76,38.22,-85.76,2018,December,Friday,22,2.0
30742301,2018-12-25 10:24:09+00:00,2018-12-25 10:31:26+00:00,307,38.24,-85.72,38.24,-85.73,2018,December,Tuesday,10,7.0
26669979,2018-12-03 05:42:42+00:00,2018-12-03 05:45:54+00:00,719,38.22,-85.76,38.23,-85.76,2018,December,Monday,5,3.0
27284973,2018-12-06 12:14:38+00:00,2018-12-06 12:44:47+00:00,2962,38.25,-85.75,38.26,-85.75,2018,December,Thursday,12,30.0
27538876,2018-12-07 19:09:28+00:00,2018-12-07 19:14:25+00:00,1096,38.24,-85.72,38.24,-85.73,2018,December,Friday,19,5.0
30194208,2018-12-21 23:34:02+00:00,2018-12-21 23:46:47+00:00,3163,38.22,-85.76,38.22,-85.76,2018,December,Friday,23,13.0
31255187,2018-12-28 12:10:38+00:00,2018-12-28 12:16:41+00:00,337,38.22,-85.76,38.22,-85.76,2018,December,Friday,12,6.0
31254757,2018-12-28 12:08:14+00:00,2018-12-28 12:23:38+00:00,1082,38.25,-85.76,38.26,-85.76,2018,December,Friday,12,15.0
31265707,2018-12-28 13:02:17+00:00,2018-12-28 13:14:16+00:00,1031,38.24,-85.76,38.25,-85.76,2018,December,Friday,13,12.0
31322268,2018-12-28 17:47:42+00:00,2018-12-28 17:51:13+00:00,443,38.26,-85.76,38.26,-85.76,2018,December,Friday,17,4.0
31453354,2018-12-29 12:25:17+00:00,2018-12-29 12:39:16+00:00,1119,38.26,-85.76,38.26,-85.76,2018,December,Saturday,12,14.0
27282716,2018-12-06 12:01:43+00:00,2018-12-06 12:08:35+00:00,820,38.22,-85.75,38.22,-85.76,2018,December,Thursday,12,7.0
27237407,2018-12-06 08:06:53+00:00,2018-12-06 08:09:53+00:00,590,38.26,-85.75,38.26,-85.76,2018,December,Thursday,8,3.0
28134883,2018-12-11 06:50:57+00:00,2018-12-11 06:58:38+00:00,604,38.22,-85.76,38.22,-85.75,2018,December,Tuesday,6,8.0
31253386,2018-12-28 12:01:25+00:00,2018-12-28 12:12:09+00:00,2064,38.26,-85.76,38.26,-85.76,2018,December,Friday,12,11.0
31278084,2018-12-28 14:00:40+00:00,2018-12-28 14:21:53+00:00,2598,38.24,-85.72,38.24,-85.72,2018,December,Friday,14,21.0
31454320,2018-12-29 12:30:08+00:00,2018-12-29 12:47:56+00:00,2807,38.24,-85.72,38.25,-85.74,2018,December,Saturday,12,18.0
27283185,2018-12-06 12:04:24+00:00,2018-12-06 12:19:17+00:00,1995,38.25,-85.74,38.26,-85.75,2018,December,Thursday,12,15.0
31253611,2018-12-28 12:02:31+00:00,2018-12-28 12:15:04+00:00,1936,38.26,-85.74,38.26,-85.74,2018,December,Friday,12,13.0
27269164,2018-12-06 10:50:20+00:00,2018-12-06 11:01:55+00:00,1574,38.26,-85.76,38.26,-85.76,2018,December,Thursday,10,12.0
27283143,2018-12-06 12:04:08+00:00,2018-12-06 12:07:11+00:00,65,38.22,-85.76,38.22,-85.76,2018,December,Thursday,12,3.0
29695914,2018-12-19 09:33:43+00:00,2018-12-19 09:37:35+00:00,943,38.22,-85.75,38.22,-85.74,2018,December,Wednesday,9,4.0
30624464,2018-12-24 12:06:39+00:00,2018-12-24 12:47:02+00:00,5685,38.24,-85.76,38.26,-85.76,2018,December,Monday,12,40.0
31428650,2018-12-29 10:20:18+00:00,2018-12-29 10:26:15+00:00,880,38.25,-85.76,38.26,-85.75,2018,December,Saturday,10,6.0
31426540,2018-12-29 10:07:39+00:00,2018-12-29 10:23:10+00:00,2179,38.23,-85.74,38.23,-85.76,2018,December,Saturday,10,16.0
31248924,2018-12-28 11:37:37+00:00,2018-12-28 11:51:52+00:00,823,38.24,-85.72,38.24,-85.72,2018,December,Friday,11,14.0
27272336,2018-12-06 11:06:44+00:00,2018-12-06 11:10:00+00:00,919,38.21,-85.75,38.21,-85.76,2018,December,Thursday,11,3.0
27241083,2018-12-06 08:25:57+00:00,2018-12-06 08:28:27+00:00,256,38.25,-85.76,38.26,-85.76,2018,December,Thursday,8,2.0
31436200,2018-12-29 11:01:45+00:00,2018-12-29 11:19:47+00:00,4308,38.22,-85.76,38.26,-85.75,2018,December,Saturday,11,18.0
27542851,2018-12-07 19:38:46+00:00,2018-12-07 19:42:14+00:00,543,38.25,-85.75,38.25,-85.76,2018,December,Friday,19,3.0
31165360,2018-12-27 22:51:59+00:00,2018-12-27 23:20:01+00:00,842,38.22,-85.76,38.22,-85.76,2018,December,Thursday,22,28.0
27277354,2018-12-06 11:33:55+00:00,2018-12-06 11:38:27+00:00,749,38.22,-85.76,38.22,-85.76,2018,December,Thursday,11,5.0
27284809,2018-12-06 12:13:43+00:00,2018-12-06 12:25:49+00:00,2995,38.22,-85.77,38.25,-85.76,2018,December,Thursday,12,12.0
28543493,2018-12-13 11:12:28+00:00,2018-12-13 11:15:36+00:00,881,38.22,-85.76,38.22,-85.76,2018,December,Thursday,11,3.0
26558690,2018-12-02 12:37:41+00:00,2018-12-02 12:50:57+00:00,2858,38.24,-85.72,38.24,-85.73,2018,December,Sunday,12,13.0
27274089,2018-12-06 11:16:04+00:00,2018-12-06 11:27:08+00:00,1403,38.26,-85.76,38.26,-85.76,2018,December,Thursday,11,11.0
27268439,2018-12-06 10:46:34+00:00,2018-12-06 10:53:47+00:00,657,38.21,-85.76,38.21,-85.76,2018,December,Thursday,10,7.0
29797496,2018-12-19 19:52:49+00:00,2018-12-19 20:56:22+00:00,7771,38.23,-85.72,38.23,-85.71,2018,December,Wednesday,19,64.0
29860579,2018-12-20 07:01:58+00:00,2018-12-20 07:07:03+00:00,1582,38.23,-85.75,38.23,-85.74,2018,December,Thursday,7,5.0
29686835,2018-12-19 08:40:24+00:00,2018-12-19 09:04:55+00:00,5148,38.27,-85.74,38.27,-85.78,2018,December,Wednesday,8,25.0
31164584,2018-12-27 22:41:49+00:00,2018-12-27 22:43:28+00:00,392,38.22,-85.76,38.22,-85.76,2018,December,Thursday,22,2.0
31426071,2018-12-29 10:05:00+00:00,2018-12-29 10:17:01+00:00,1178,38.25,-85.76,38.26,-85.75,2018,December,Saturday,10,12.0
27282704,2018-12-06 12:01:40+00:00,2018-12-06 12:05:37+00:00,452,38.25,-85.76,38.25,-85.76,2018,December,Thursday,12,4.0
30184973,2018-12-21 21:55:16+00:00,2018-12-21 22:06:40+00:00,1063,38.24,-85.72,38.24,-85.72,2018,December,Friday,21,11.0
30194255,2018-12-21 23:34:49+00:00,2018-12-21 23:46:47+00:00,2986,38.22,-85.76,38.22,-85.76,2018,December,Friday,23,12.0
27272978,2018-12-06 11:10:29+00:00,2018-12-06 11:33:39+00:00,1128,38.25,-85.76,38.26,-85.75,2018,December,Thursday,11,23.0
27542878,2018-12-07 19:38:58+00:00,2018-12-07 19:42:33+00:00,709,38.25,-85.75,38.25,-85.76,2018,December,Friday,19,4.0
29169556,2018-12-16 12:37:05+00:00,2018-12-16 13:04:59+00:00,4540,38.25,-85.73,38.23,-85.7,2018,December,Sunday,12,28.0
31314551,2018-12-28 17:02:14+00:00,2018-12-28 17:06:46+00:00,367,38.26,-85.74,38.26,-85.74,2018,December,Friday,17,5.0
31330138,2018-12-28 18:39:25+00:00,2018-12-28 18:43:05+00:00,1238,38.22,-85.76,38.21,-85.76,2018,December,Friday,18,4.0
28768880,2018-12-14 14:13:30+00:00,2018-12-14 14:28:26+00:00,2618,38.26,-85.78,38.26,-85.76,2018,December,Friday,14,15.0
31431180,2018-12-29 10:34:52+00:00,2018-12-29 10:39:48+00:00,1085,38.25,-85.74,38.26,-85.75,2018,December,Saturday,10,5.0
31453743,2018-12-29 12:27:16+00:00,2018-12-29 12:39:32+00:00,1675,38.26,-85.76,38.26,-85.76,2018,December,Saturday,12,12.0
27280739,2018-12-06 11:51:35+00:00,2018-12-06 11:55:33+00:00,1039,38.23,-85.75,38.23,-85.74,2018,December,Thursday,11,4.0
27297859,2018-12-06 13:31:53+00:00,2018-12-06 13:36:55+00:00,1351,38.22,-85.76,38.23,-85.76,2018,December,Thursday,13,5.0
31167090,2018-12-27 23:15:26+00:00,2018-12-27 23:40:40+00:00,4047,38.23,-85.76,38.21,-85.77,2018,December,Thursday,23,25.0
31433522,2018-12-29 10:48:03+00:00,2018-12-29 10:52:48+00:00,841,38.26,-85.76,38.25,-85.76,2018,December,Saturday,10,5.0
31277307,2018-12-28 13:57:04+00:00,2018-12-28 14:23:57+00:00,4280,38.26,-85.76,38.22,-85.76,2018,December,Friday,13,27.0
29168265,2018-12-16 12:31:26+00:00,2018-12-16 13:28:44+00:00,10437,38.24,-85.72,38.24,-85.72,2018,December,Sunday,12,57.0
29795202,2018-12-19 19:34:00+00:00,2018-12-19 20:03:10+00:00,5281,38.22,-85.76,38.26,-85.76,2018,December,Wednesday,19,29.0
29868254,2018-12-20 07:56:59+00:00,2018-12-20 08:00:50+00:00,413,38.22,-85.76,38.22,-85.76,2018,December,Thursday,7,4.0
30187218,2018-12-21 22:18:05+00:00,2018-12-21 22:24:40+00:00,1793,38.26,-85.76,38.24,-85.76,2018,December,Friday,22,7.0
30624387,2018-12-24 12:06:03+00:00,2018-12-24 12:46:45+00:00,5802,38.24,-85.76,38.26,-85.76,2018,December,Monday,12,41.0
30733497,2018-12-25 08:59:15+00:00,2018-12-25 09:02:49+00:00,698,38.23,-85.74,38.23,-85.75,2018,December,Tuesday,8,4.0
31312510,2018-12-28 16:51:20+00:00,2018-12-28 17:02:20+00:00,1910,38.25,-85.76,38.26,-85.76,2018,December,Friday,16,11.0
31457416,2018-12-29 12:44:44+00:00,2018-12-29 12:49:27+00:00,1159,38.22,-85.76,38.23,-85.77,2018,December,Saturday,12,5.0
27261312,2018-12-06 10:10:06+00:00,2018-12-06 11:07:03+00:00,2011,38.23,-85.76,38.23,-85.76,2018,December,Thursday,10,57.0
27284774,2018-12-06 12:13:30+00:00,2018-12-06 12:24:25+00:00,1169,38.22,-85.76,38.22,-85.76,2018,December,Thursday,12,11.0
30622534,2018-12-24 11:52:37+00:00,2018-12-24 12:06:03+00:00,1658,38.25,-85.75,38.24,-85.76,2018,December,Monday,11,13.0
31172590,2018-12-28 00:30:18+00:00,2018-12-28 00:33:25+00:00,690,38.23,-85.71,38.23,-85.7,2018,December,Friday,0,3.0
31448737,2018-12-29 12:03:26+00:00,2018-12-29 12:18:56+00:00,1304,38.26,-85.76,38.26,-85.76,2018,December,Saturday,12,16.0
29185389,2018-12-16 13:41:38+00:00,2018-12-16 13:50:23+00:00,254,38.24,-85.73,38.24,-85.73,2018,December,Sunday,13,9.0
31298247,2018-12-28 15:37:16+00:00,2018-12-28 16:31:52+00:00,11255,38.26,-85.75,38.18,-85.77,2018,December,Friday,15,55.0
26547117,2018-12-02 11:41:21+00:00,2018-12-02 12:38:42+00:00,4353,38.25,-85.75,38.26,-85.75,2018,December,Sunday,11,57.0
26554623,2018-12-02 12:17:42+00:00,2018-12-02 12:34:46+00:00,1624,38.24,-85.72,38.24,-85.72,2018,December,Sunday,12,17.0
26536275,2018-12-02 10:46:06+00:00,2018-12-02 12:54:09+00:00,3204,38.24,-85.72,38.23,-85.71,2018,December,Sunday,10,128.0
27271715,2018-12-06 11:03:28+00:00,2018-12-06 11:07:43+00:00,544,38.22,-85.76,38.22,-85.76,2018,December,Thursday,11,4.0
28129393,2018-12-11 06:03:13+00:00,2018-12-11 06:05:29+00:00,320,38.26,-85.76,38.26,-85.76,2018,December,Tuesday,6,2.0
29509953,2018-12-18 08:57:32+00:00,2018-12-18 09:03:05+00:00,681,38.25,-85.76,38.25,-85.76,2018,December,Tuesday,8,6.0
30737465,2018-12-25 09:38:00+00:00,2018-12-25 09:48:23+00:00,322,38.24,-85.69,38.24,-85.69,2018,December,Tuesday,9,10.0
31432482,2018-12-29 10:42:08+00:00,2018-12-29 10:51:25+00:00,518,38.26,-85.76,38.26,-85.76,2018,December,Saturday,10,9.0
29797250,2018-12-19 19:50:22+00:00,2018-12-19 20:38:01+00:00,4558,38.24,-85.76,38.24,-85.76,2018,December,Wednesday,19,48.0
31275915,2018-12-28 13:50:17+00:00,2018-12-28 14:36:40+00:00,1383,38.25,-85.76,38.26,-85.76,2018,December,Friday,13,46.0
27267522,2018-12-06 10:41:44+00:00,2018-12-06 10:47:02+00:00,581,38.26,-85.76,38.25,-85.76,2018,December,Thursday,10,5.0
27293197,2018-12-06 13:04:18+00:00,2018-12-06 13:16:47+00:00,2972,38.25,-85.76,38.27,-85.78,2018,December,Thursday,13,12.0
28551931,2018-12-13 11:58:09+00:00,2018-12-13 11:59:26+00:00,415,38.26,-85.76,38.26,-85.77,2018,December,Thursday,11,1.0
30621760,2018-12-24 11:46:58+00:00,2018-12-24 12:06:16+00:00,1946,38.26,-85.75,38.24,-85.76,2018,December,Monday,11,19.0
31441505,2018-12-29 11:28:44+00:00,2018-12-29 11:30:34+00:00,327,38.26,-85.75,38.26,-85.75,2018,December,Saturday,11,2.0
29180367,2018-12-16 13:21:31+00:00,2018-12-16 13:32:14+00:00,1644,38.21,-85.76,38.23,-85.77,2018,December,Sunday,13,11.0
29796398,2018-12-19 19:43:40+00:00,2018-12-19 20:42:46+00:00,6536,38.24,-85.76,38.24,-85.76,2018,December,Wednesday,19,59.0
